,0,1,2,3,4,5,6,7,8
0,2.0,1.06,2.0,0.751,1.976,2.0,1.041,2.0,0.789
1,2.0,2.0,0.265,0.624,1.881,2.0,1.018,2.0,0.824
2,2.0,1.101,2.0,0.643,2.0,2.0,2.0,0.983,2.0
3,2.0,2.0,0.567,0.468,1.871,2.0,1.053,0.481,0.811
4,1.944,2.0,0.106,0.63,2.0,1.958,1.123,1.166,2.0
5,2.0,2.0,0.307,0.524,2.0,2.0,2.0,0.826,2.0
6,2.0,1.084,2.0,0.114,2.0,2.0,1.045,2.0,2.0
7,2.0,2.0,0.145,0.585,2.0,1.967,2.0,1.0,2.0
8,2.0,1.154,2.0,0.135,2.0,2.0,1.014,2.0,2.0
9,2.0,1.089,0.085,0.703,2.0,2.0,1.029,1.425,2.0
10,2.0,2.0,0.297,0.579,2.0,2.0,2.0,1.107,0.867
11,2.0,2.0,0.372,0.63,2.0,2.0,2.0,0.984,2.0
12,2.0,0.976,1.109,0.191,2.0,2.0,1.127,2.0,1.826
13,2.0,2.0,2.0,0.635,2.0,2.0,2.0,0.968,2.0
14,2.0,2.0,0.141,0.639,1.995,2.0,1.083,1.128,1.995
15,2.0,2.0,0.38,0.632,2.0,2.0,1.033,2.0,1.027
16,2.0,1.152,0.366,0.681,2.0,2.0,1.011,1.048,1.941
17,2.0,1.021,0.416,0.486,1.999,2.0,1.042,2.0,1.668
18,2.0,2.0,0.113,0.643,2.0,2.0,2.0,1.035,2.0
19,2.0,2.0,0.353,0.59,2.0,2.0,2.0,0.865,2.0
20,2.0,1.146,0.117,0.671,2.0,2.0,0.974,1.063,2.0
21,2.0,0.948,0.096,0.809,1.998,2.0,1.019,1.478,0.779
22,2.0,0.97,0.08,0.798,2.0,1.972,1.006,2.0,2.0
23,2.0,1.06,0.11,0.708,2.0,2.0,1.012,2.0,2.0
24,2.0,2.0,2.0,0.357,2.0,2.0,1.062,1.015,2.0
25,2.0,0.998,0.092,0.755,2.0,1.999,1.004,2.0,2.0
26,2.0,2.0,0.195,0.585,2.0,2.0,1.037,1.126,1.982
27,2.0,1.075,0.184,0.501,2.0,2.0,1.003,2.0,2.0
28,2.0,2.0,0.15,0.573,2.0,2.0,2.0,0.981,2.0
29,2.0,1.03,0.167,0.723,1.975,2.0,1.061,1.358,0.795
30,2.0,1.031,0.211,0.741,1.94,2.0,2.0,1.601,0.793
31,2.0,2.0,0.265,0.59,2.0,2.0,2.0,0.917,2.0
32,2.0,2.0,0.131,0.598,1.97,2.0,2.0,0.982,1.908
33,2.0,2.0,2.0,0.245,2.0,1.941,0.997,1.185,2.0
34,2.0,0.994,0.099,0.789,1.912,2.0,1.07,2.0,0.741
35,2.0,0.975,0.811,0.178,1.947,2.0,1.161,2.0,0.78
36,2.0,2.0,0.107,0.628,2.0,2.0,2.0,1.024,2.0
37,1.999,1.031,0.08,0.722,2.0,2.0,1.034,2.0,2.0
38,2.0,1.125,0.262,0.676,1.971,2.0,1.061,1.389,0.779
39,2.0,1.18,0.922,0.149,2.0,2.0,1.036,2.0,1.869
40,2.0,2.0,0.14,0.638,2.0,2.0,2.0,1.025,2.0
41,2.0,1.066,0.097,0.711,2.0,2.0,1.025,1.197,2.0
42,2.0,1.03,0.225,0.749,2.0,2.0,1.027,2.0,2.0
43,2.0,0.934,0.019,0.832,2.0,2.0,1.025,2.0,2.0
44,2.0,2.0,0.168,0.509,2.0,2.0,1.016,1.16,2.0
45,2.0,1.042,0.168,0.729,2.0,2.0,1.031,2.0,1.877
46,2.0,2.0,0.219,0.651,2.0,2.0,1.024,1.207,1.166
47,2.0,2.0,0.114,0.645,2.0,1.994,2.0,1.059,2.0
48,2.0,1.089,0.094,0.697,2.0,2.0,1.03,1.213,2.0
49,1.981,2.0,0.162,0.632,2.0,1.942,2.0,0.837,2.0
50,2.0,2.0,0.189,0.632,2.0,2.0,1.125,1.072,1.982
51,2.0,2.0,0.219,0.356,1.982,2.0,2.0,0.829,1.088
52,2.0,1.145,0.13,0.682,2.0,2.0,1.057,1.346,2.0
